@relation Nelson.160317.withFert.singleSheet

@attribute id numeric
@attribute year numeric
@attribute tropical numeric
@attribute tons_ha numeric
@attribute Bcals_ha numeric
@attribute soilscore numeric
@attribute ha numeric
@attribute rice numeric
@attribute wheat numeric
@attribute sugar numeric
@attribute grains numeric
@attribute oil numeric
@attribute fruits numeric
@attribute roots numeric
@attribute other numeric
@attribute davg numeric
@attribute navg numeric
@attribute pavg numeric
@attribute irr numeric
@attribute landd numeric
@attribute eqp numeric
@attribute fert numeric

@data
3,1975,0,2.81141,4.354838,1,510100,0.78416,31.366399,0,32.248579,17.506371,2.74456,3.03862,12.311312,24.595254,11.838591,32.75307,0.648892,0.006114,0.000303,122.524995
3,1976,0,3.041382,5.260763,1,548550,0.729195,34.63677,0,28.52976,16.680339,2.698022,2.825631,13.900283,22.746947,10.578032,61.066604,0.619816,0.005835,0.000288,131.255127
3,1977,0,3.096264,5.354952,1,559400,0.715052,35.752592,0,27.350733,16.446192,2.788702,2.770826,14.175903,24.724608,11.605455,43.1682,0.62567,0.00587,0.000289,140.68645
3,1978,0,3.22672,5.435986,1,559500,0.714924,35.746202,0,27.167113,16.175156,2.949062,2.770331,14.477212,23.816282,10.706391,62.449807,0.63807,0.005973,0.000293,178.552279
3,1979,0,3.502534,5.511439,1,570700,0.700894,34.519012,0,28.876818,15.559839,2.99632,2.715963,14.631155,24.503819,11.741183,55.113286,0.641318,0.005979,0.000287,171.894165
3,1980,0,3.164364,5.152024,1,588766,0.679387,33.425843,0,29.162689,16.373228,2.949559,2.768502,14.640791,23.527161,11.297032,46.577991,0.630131,0.005866,0.000279,159.146418
3,1981,0,3.374267,5.316673,1,579800,0.689893,33.28734,0,28.3891,16.988617,3.070024,2.863056,14.71197,24.589902,11.942076,46.319337,0.651949,0.006056,0.000283,140.393239
3,1982,0,3.593964,5.670294,1,573200,0.697837,34.002094,0,27.651779,17.39358,3.140265,2.721563,14.392882,25.516262,12.760844,42.083398,0.666434,0.006182,0.000293,184.926727
3,1983,0,4.005838,6.545526,1,565300,0.63683,33.398196,0,27.932071,17.742791,3.361047,2.741907,14.187157,24.169295,11.881405,49.976277,0.686361,0.006352,0.0003,181.673448
3,1984,0,3.912068,6.622243,1,543600,0.662252,34.952171,0,28.844739,14.900662,3.495217,2.630611,14.514349,23.640268,11.044514,45.296657,0.722958,0.006678,0.000308,172.921266
3,1985,0,3.418174,5.963852,1,582621,0.514914,32.954528,0,25.402449,16.734721,7.89896,2.574572,13.919855,25.521685,12.22161,23.452644,0.684836,0.006312,0.000283,161.511514
