id,year,tropical,tons_ha,Bcals_ha,soilscore,ha,rice,wheat,sugar,grains,oil,fruits,roots,other,davg,navg,pavg,irr,landd,eqp,fert
3,2000,0,5.030827481,6.090594828,1,316406,0,35.39755883,0,20.99359683,11.22355455,7.716351776,3.60296581,21.0659722,26.25250707,13.68472627,38.43685007,1.07456875,0.010124492,0.000361371,59.10128127
3,2001,0,5.421437068,5.979667472,1,293389,0,34.08444079,0,22.52981536,9.917549738,8.416130121,3.749288487,21.3027755,25.04157655,13.82599935,39.33263398,1.169096319,0.01091878,0.000377417,63.73790428
3,2002,0,5.609688065,6.324519278,1,285733,0,32.68785895,0,22.83600424,10.64770258,9.240794728,3.709757011,20.8778825,24.88389543,13.88756018,65.27335829,1.210920685,0.01137646,0.000384485,123.7413949
4,1975,0,1.4525918,2.844899874,1.011514188,4085770,0.014195611,54.40296444,0,23.19954378,4.404310571,10.84715978,1.715221366,5.416604459,25.03310127,12.17476105,32.17376567,0.059719465,0.000866588,0.000213154,30.10448459
4,1976,0,1.207861105,2.371637783,1.011526217,4266830,0.011718301,53.78934713,0,24.70874162,4.367879667,9.998523494,1.62860953,5.495180263,24.49057837,12.18152983,44.10856804,0.057654043,0.000848628,0.000205377,38.90476068
4,1977,0,1.011172188,1.571603937,1.011498292,3667500,0.015541922,52.00190866,0,23.79059305,4.58459441,11.16373551,2.042535787,6.401090661,25.21428714,12.35704672,25.38414863,0.067620995,0.000977352,0.00023988,38.45044308
4,1978,0,1.135569529,2.047319003,1.011532002,3524140,0.007377686,52.90084957,0,21.57774663,4.895662488,11.37724381,2.069724812,7.171395007,24.675921,12.11477237,27.39811606,0.070939293,0.001020158,0.000250302,50.53913863
4,1979,0,1.164233649,2.078356981,1.011535869,3831730,0.010439149,50.77367142,0,24.55157331,5.076819087,10.46315894,2.015277694,7.109060398,25.33407215,12.84190288,32.11960721,0.065766638,0.000938686,0.000248817,44.32775796
4,1980,0,1.296438465,2.600210709,1.011556693,4129680,0.01017028,50.15521784,0,26.87157358,4.714893164,9.473857539,1.840578447,6.933709149,25.29606026,12.49954177,27.39628601,0.061263827,0.000874535,0.000236135,57.07464017
4,1981,0,1.278018823,2.353936576,1.011548105,3807030,0.011032222,47.62689025,0,26.86608721,5.279443556,10.10682868,2.177550479,7.932167595,25.79500425,13.19448253,22.95146542,0.070921427,0.000980528,0.000261595,43.62981117
4,1982,0,1.163058414,2.168782782,1.011538836,3457675,0.012146891,47.36998127,0,26.9250291,5.757915362,10.02147397,2.132646938,7.780806467,26.17034958,13.78325381,30.94149389,0.080979271,0.001099473,0.000295065,37.984773
4,1983,0,1.280255033,2.153192187,1.011507538,3166498,0.014211283,44.26025218,0,26.07328348,6.584245435,10.76773142,2.425076536,9.875199669,26.6607095,13.75617545,13.6967536,0.091899632,0.001200323,0.000329178,48.91839502
4,1984,0,1.256737494,2.108101338,1.011525203,3625532,0.012411972,42.66959994,0,30.96428331,5.22571584,9.113145326,1.98315723,10.03168638,25.27829469,12.51944209,26.34571861,0.082194834,0.001085741,0.00034681,56.24967591
4,1985,0,1.598567104,3.122986566,1.011530683,4250135,0.010587899,39.24557691,0,36.0042681,4.610206499,8.239267694,2.293574204,9.596518699,25.99048882,13.36486988,28.78773939,0.079526886,0.000991554,0.000360476,66.02896143
4,1986,0,1.675110331,2.988436236,1.011538715,3898505,0.011799395,38.98930487,0,34.64507548,5.166852422,8.297283189,2.47941198,10.41027266,25.92958956,13.64287038,29.18460025,0.086443393,0.001083123,0.000431165,69.68312212
4,1987,0,1.634259845,2.804922858,1.011541538,3771675,0.012726441,40.0511709,0,32.03006622,5.429417964,8.554024406,2.848601749,11.07399232,26.7436358,14.01531222,17.93771373,0.089350222,0.001126804,0.00047944,63.95036688
4,1988,0,1.760872048,2.398342329,1.011544583,2793655,0.018971562,36.62191645,0,28.09652588,7.16802898,11.09263671,3.493631103,13.50828932,26.54709667,13.806588,22.39935212,0.120272546,0.001521863,0.000664534,52.44026195
4,1989,0,1.728266138,2.863127508,1.011537658,3621135,0.014636295,40.67785377,0,32.16229166,5.743779229,8.679599076,2.873684632,9.848155344,26.45934458,13.79060648,26.24978266,0.10438716,0.001257128,0.000451568,32.31031155
4,1990,0,1.594375395,2.615108241,1.011533092,3315255,0.016589976,35.82891814,0,35.52152097,6.240545599,9.391434445,3.089656753,9.911334121,26.85206804,14.11117147,25.54686601,0.131814898,0.001531342,0.00055961,38.30776215
4,1991,0,1.881236435,3.757795984,1.011543174,4404179,0.012715196,39.26815872,0,38.33354639,4.462488922,6.913933335,2.69562159,8.313535849,25.61110761,12.73000917,32.01670738,0.112847366,0.00123495,0.000450806,20.77572233
4,1992,0,1.850996322,3.373811641,1.011558996,4494077,0.012683361,41.12101328,0,37.42541572,4.154201185,6.66121208,2.386696979,8.238777395,25.50709493,12.56674226,33.84182741,0.123718396,0.001315262,0.000415082,21.53946183
4,1993,0,2.235357512,2.927253146,1.011549745,2908966,0.02107278,43.15691555,0,24.18529471,6.208804091,10.39716518,3.292578875,12.73816882,26.10080194,13.28329656,23.14796171,0.191133207,0.002029278,0.000674515,44.99880714
4,1994,0,2.425136271,2.933856114,1.011555426,2220568,0.031523466,40.19692259,0,17.75113394,8.07392523,13.56274611,3.391024278,16.99272438,27.04808549,14.2933159,22.94076543,0.250386388,0.002651605,0.000834967,53.72499288
4,1995,0,2.072905303,3.070879524,1.011554543,3508181,0.020266913,47.90858852,0,25.60415212,5.120431357,8.184583407,2.501011208,10.66096647,26.02441696,13.29887198,28.94193403,0.159056788,0.001685577,0.00052985,13.2262275
4,1996,0,2.230521117,4.544610056,1.011548104,4581025,0.013097505,49.73777703,0,30.23002494,4.019318821,6.387435126,1.864648196,7.747698386,25.10860419,12.57314506,32.5531481,0.122243384,0.00129399,0.000410024,8.295086798
4,1997,0,2.90129716,3.169325681,1.011558111,1998828,0.010005863,41.28619371,0,14.52000873,9.071916143,14.48098586,3.360969528,17.26992017,26.2258451,13.92079155,28.00524399,0.281164763,0.002989947,0.000944689,48.52843766
4,1998,0,1.85679715,3.167164305,1.011555259,4463312,0.003741616,57.74075395,0,22.36545417,4.119004004,6.539538352,1.537871428,7.693636474,26.57392673,13.19695559,26.69445118,0.126363561,0.001342794,0.000425612,24.19727772
4,1999,0,2.832576623,4.013876391,1.011553737,2789706,0.007348445,49.19514816,0,18.50445889,6.66973509,10.55846028,2.326051562,12.73879757,27.56904992,14.29141294,18.4455021,0.202888763,0.002154525,0.000662866,33.33684625
4,2000,0,3.318800908,3.635499861,1.011554951,1946406,0.010121218,42.48856611,0,11.86032102,9.67465164,15.21881868,3.734575417,17.01294591,26.9499252,13.98974901,20.96388932,0.291819898,0.003093645,0.00096224,47.42073339
4,2001,0,2.496569747,3.955751584,1.011563713,3340278,0.00517921,54.97775934,0,16.94469742,5.888372165,10.29674776,1.969596543,9.917647573,27.37616573,14.21745292,19.15229438,0.170345103,0.001798434,0.000567791,31.52432223
4,2002,0,2.901622723,3.920455479,1.011551871,2833632,0.006881628,49.35220946,0,15.75539802,7.394467595,12.75963146,2.56137706,12.17003478,26.33281007,13.39344703,26.95880562,0.200802362,0.002116577,0.00066984,34.58458967
9,1975,0,3.308682561,8.399304757,1.401197738,15881788,0.582428125,33.18643971,1.846139742,39.9894017,17.51110139,2.154669235,1.080797704,3.64902239,27.0822173,12.93981654,95.68769255,0.090669892,0.000622949,0.000435589,3.79680172
9,1976,0,3.211999758,8.593690099,1.400538529,17329416,0.503594582,39.21020766,1.957365442,35.19302093,16.86171075,2.005837935,0.967199356,3.301063348,27.2018987,12.6411286,79.85119119,0.083153408,0.000575633,0.000403985,4.514231755
9,1977,0,3.514540745,8.776189378,1.399891133,15451272,0.586359492,26.87804603,2.265185675,40.30956157,22.67459922,2.263684181,1.092207813,3.930356025,26.64155153,13.62438318,115.7668311,0.09332565,0.000650326,0.000458692,4.808989189
9,1978,0,3.231070923,8.017686552,1.39901371,17970145,0.52865461,27.09271405,1.908721382,35.41051004,28.53037635,1.947786175,0.95102182,3.63021556,27.00427767,13.79774318,115.7786026,0.080299853,0.000562862,0.000391402,5.958493935
9,1979,0,3.283472527,8.102196121,1.398334948,17651125,0.580132994,27.8271215,1.927355905,34.22892875,28.86134453,1.835888647,0.933085002,3.806142668,26.94358252,13.73079978,91.54889623,0.081807817,0.000574289,0.000399049,7.369615251
9,1980,0,3.098663061,7.882024324,1.397694749,17439617,0.471340626,29.32059804,1.801071663,26.8560657,33.21173854,3.287876104,0.969459364,4.081849963,27.48148222,14.16544829,95.41832244,0.082857324,0.000581254,0.000401003,6.626751035
9,1981,0,3.419183344,8.175903965,1.397019558,18439590,0.443610731,32.38846417,1.73431188,33.93226205,23.92379657,3.123209356,0.883425282,3.570919961,26.79273705,13.91296264,106.1694305,0.078418229,0.000549732,0.000430579,5.2319493
9,1982,0,3.312313346,8.529834452,1.396190156,20825940,0.545473578,35.36070881,1.481325693,31.27160167,24.5046322,2.777401644,0.7582851,3.300571307,27.40038099,13.77241166,89.20600087,0.069576691,0.000499131,0.00037457,5.123418199
9,1983,0,3.202304376,8.264972661,1.395610387,20798774,0.442814562,34.2510573,1.506819585,30.37251138,26.78282864,2.769466123,0.730523828,3.143978583,27.27887607,13.76835047,87.97056019,0.069715648,0.000499783,0.000374527,5.697451206
